label,precision,recall,f1,support
backend,0.4,0.4,0.4,5
frontend,0.2,1.0,0.3333333333333333,1
mobile,1.0,1.0,1.0,2
devops,0.8,0.8,0.8,5
ambiguous,0.7,0.7777777777777778,0.7368421052631579,9
out_of_scope,1.0,0.43478260869565216,0.6060606060606061,23
insufficient_evidence,0.0,0.0,0.0,2
OVERALL_ACCURACY,0.5531914893617021,0.5531914893617021,0.5531914893617021,47
MACRO_AVERAGE,0.5857142857142857,0.6303657694962043,0.5537480063795853,47
WEIGHTED_AVERAGE,0.7978723404255319,0.5531914893617021,0.6149852387254402,47
