job_id,title,description_excerpt,predicted_label,classification_score,expected_label,review_notes
766,Backend Developer (m/w/d)  PHP  PostgreSQL,"Die Welt versendet – und wir machen es einfach. Pakajo digitalisiert den grenzüberschreitenden Paketversand. Mit unserem „Glocal“-Modell verbinden wir nationale Postgesellschaften in 23 Ländern über 441 Korridore, betreiben eigene konsolidierte Linehauls und übermitteln Zolldaten vollelektronisch über unsere eigenentwickelte Customs Engine. Das Ergebnis: internationaler Versand zu nahezu nationalen Konditionen – im Schnitt 57 % günstiger als klassischer Cross-Border-Versand. Zu unseren Kunden zählen führende E-Commerce-Händler und Medienhäuser. Wir sind profitabel gewachsen, bootstrapped gestartet, investorenfinanziert skalierend – und suchen jetzt Verstärkung für den Aufbau unseres eigenen Backend-Teams. Aufgaben Deine Rolle Du entwickelst Features für unsere Plattform: Versand- und Fulfillment-Portal, Carrier-Anbindungen, Datenimporte/-exporte und unsere APIs (CrossBorderX, Return Module). Du bindest neue Postgesellschaften, Carrier und Kundensysteme an (REST-Schnittstellen, EDI, strukturierte Datenfeeds) – jede Anbindung ist ein eigenes kleines Projekt mit sichtbarem Ergebnis. Du arbeitest an der Customs Engine mit und setzt gemeinsam mit dem Team regulatorische Anforderungen um (z. B. neue EU-Zollregeln). Du schreibst automatisierte Tests, nimmst an Code Reviews teil und wächst dabei fachlich – eng begleitet durch unseren Lead Developer. Qualifikation Dein Profil Abgeschlossenes Studium oder eine vergleichbare Ausbildung im Bereich Informatik, Medieninformatik oder einer...",backend,10.95,backend,العنوان والوصف يذكران صراحة تطوير الـBackend باستخدام PHP وPostgreSQL وبناء REST APIs وتكاملات مع الأنظمة؛ لذلك المسار الصحيح Backend.
138,Senior Azure Cloud Platform Architect (m/w/d),"Die thinkGROUP ist eine erfolgreiche Systemhausgruppe, die ständig nach Innovation strebt und großen Wert auf die kontinuierliche Optimierung unserer internen Prozesse legt. Die Nutzung modernster Technologien ist kein Selbstzweck, sondern die Ausprägung unseres Innovationsgeistes und gelebter Kundenorientierung. Hervorragender IT-Service bedarf optimaler Systeme. Unser motiviertes Team gibt täglich sein Bestes, um unsere Kunden immer wieder neu zu begeistern. Wir suchen Dich zum nächstmöglichen Zeitpunkt als Teammitglied unseres Fachbereichs Cloud Computing & AI am Standort Nürnberg. Werde Teil der think about IT und unterstütze uns als Senior Azure Cloud Platform Architect (m/w/d). Die Tätigkeit kann ebenfalls in unseren Niederlassungen in Hamburg, Münster, Berlin, Mainz oder Bochum ausgeübt werden. Aufgaben Sie entwickeln moderne Cloud-Plattformen und schaffen die technologische Basis für Business-Anwendungen und KI-Lösungen. Dabei begleiten Sie unsere Kunden von der ersten Idee bis zum erfolgreichen Betrieb Konzeption, Entwicklung und Weiterentwicklung zukunftssicherer Cloud-Architekturen auf Basis von Microsoft Azure sowie Beratung bei der Modernisierung von IT-Landschaften Design, Aufbau und Betrieb skalierbarer Plattformen für Container-, Kubernetes- und KI-Workloads automatisierung von Cloud-Infrastrukturen durch den Einsatz von Infrastructure as Code und modernen DevOps-Praktiken technische Beratung und Begleitung von Kunden in Workshops, Projekten sowie bei strategi...",devops,7.7,devops,الدور يركز على Azure وKubernetes وInfrastructure as Code وتشغيل المنصات السحابية وممارسات DevOps؛ لذلك المسار الصحيح DevOps.
702,"IT-Systemadministrator (m/w/d) – Windows, Netzwerk & Microsoft 365","Gestalte moderne IT-Lösungen mit unsDie CND GmbH ist ein modernes IT-Systemhaus und unterstützt mittelständische Unternehmen mit zuverlässigen, sicheren und individuell zugeschnittenen IT-Lösungen.Du sorgst gerne dafür, dass IT-Systeme zuverlässig und sicher funktionieren? Server, Netzwerke, Firewalls und moderne Cloud-Lösungen sind genau dein Thema? Bei uns erwarten dich abwechslungsreiche Kundenumgebungen, kurze Entscheidungswege und die Möglichkeit, technische Lösungen aktiv mitzugestalten.Dann werde Teil unseres Teams und gestalte moderne IT-Lösungen aktiv mit.Deine AufgabenEigenständige Betreuung, Administration und Weiterentwicklung der IT-Infrastrukturen unserer KundenBearbeitung technischer Anfragen und Störungen im First- und Second-Level-SupportPlanung, Installation, Konfiguration und Wartung von Server-, Netzwerk- und FirewallsystemenEinrichtung von Standortvernetzungen sowie Überwachung und Optimierung bestehender IT-InfrastrukturenAdministration, Konfiguration und Support von Microsoft 365 und weiteren Cloud-DienstenUnterstützung bei Migrationen und der Einführung neuer Lösungen, beispielsweise Microsoft Teams, SharePoint und Exchange OnlineAnalyse und Behebung von Störungen in Windows-NetzwerkenDurchführung von Installationen, Wartungen und Projekten – Remote, aus unserem Büro und regelmäßig direkt bei unseren Kunden vor OrtDokumentation der betreuten Systeme, Konfigurationen und durchgeführten ArbeitenMitarbeit an abwechslungsreichen IT-Projekten, beispielsweis...",devops,4.0,devops,المهام الأساسية هي إدارة الخوادم والشبكات والجدران النارية وMicrosoft 365 والبنية التحتية؛ لذلك يندرج ضمن DevOps وإدارة الأنظمة.
250,Senior DevOps/ Cloud Engineer (f/m/d),"Become a Part of ACCURIDS Join us and help shape the future of pharmaceutical data! At ACCURIDS, we’re building the data backbone behind life-science innovation — a system that identifies, links, and standardizes critical enterprise data in compliance with global standards such as ISO IDMP. We help global life-science companies launch products faster, more safely, and with better patient outcomes. At ACCURIDS, you’ll join a collaborative, growth-driven environment where your work makes a real impact from day one. How you’ll make an impact: You set up, maintain, and troubleshoot customer installations, managing both high-standard SaaS environments and restrictive customer on-premise deployments. You operate and scale our core AWS infrastructure, managing multi-account environments, EKS, RDS, S3, networking, and IAM. You support our development team with product operations, maintaining and extending GitLab CI/CD pipelines, driving declarative GitOps workflows (ArgoCD/Kargo), and managing incident response. You develop the Accurids SaaS platform stack, focusing on enhancing platform automation, Infrastructure as Code (IaC), identity management, and advanced observability. You drive our security operations, building out our compliance posture through log reviews, vulnerability scanning, active monitoring, alerting, and supporting ISO 27001 requirements. You ensure operational resilience and continuity, working as a key senior pillar to transition our infrastructure from a single-...",devops,14.0,devops,العنوان والمهام صريحة في AWS وEKS وCI/CD وGitOps وInfrastructure as Code وتشغيل المنصة؛ لذلك المسار الصحيح DevOps.
910,"Agentic Engineering Expert (m/w/d), München","Wofür wir stehen: „We drive digital transformation end-to-end – from strategy to execution. Creating measurable progress and real impact for our clients.“ Stillstand? Nicht mit uns. Wir glauben: Alles ist BETA – und genau darin liegt die Chance für Fortschritt. Während andere noch über AI-Strategie diskutieren, bauen wir unsere Delivery AI-native um – mit Specs, Verification Gates und Agenten im gesamten Entwicklungsprozess. Und jetzt kommst du: Wir suchen die Person, die diese Transformation in unseren Engineering-Teams beschleunigt. Nicht als Konzeptlieferant, sondern hands-on, als jemand, der es selbst vorlebt und andere mitzieht. Deine Aufgaben: Deine Mission: Du machst unsere Entwicklungsteams schneller und besser, indem du agentische Workflows aufbaust, Standards setzt und Wissen multiplizierst. Als fester Bestandteil des Entwicklerteams bist du hands-on in Kundenprojekten dabei und übernimmst als Lead Developer die technische Leitung: für Qualität, Skalierbarkeit und erfolgreiche Delivery. Du berätst unsere Kund:innen zu AI, Softwarearchitektur und technischen Konzepten und konzipierst und implementierst effiziente AI-Workflows für Entwicklungs- und Projektteams. Du bist dabei mehr als Techniker:in. Du bist Change Agent: Frontrunner und Innovator, der in den Projekten vorangeht, die neue Arbeitsweise vorlebt und die Teams mitnimmt. Klarstellung vorab: Das ist keine AI/ML-Rolle. Du entwickelst keine Modelle. Du baust Software schneller, indem du AI-Agenten orchestrierst...",backend,3.3,insufficient_evidence,الدور هندسي عام لقيادة فرق وبناء تدفقات عمل بالوكلاء، لكنه لا يحدد بوضوح Backend أو Frontend أو Mobile أو DevOps؛ لذلك الأدلة غير كافية لمسار واحد.
534,Sympathischer IT Systemadministrator (m/w/d) gesucht,"Gestalte mit uns die IT von morgen! Du begeisterst dich für moderne IT-Infrastrukturen und möchtest in einem innovativen Umfeld Verantwortung übernehmen? Dann bist du bei uns genau richtig! Als Systemadministrator (m/w/d) sorgst du gemeinsam mit unserem Team für einen reibungslosen IT-Betrieb und bringst unsere IT-Landschaft aktiv voran. Aufgaben Deine Aufgaben Betreuung, Administration und kontinuierliche Weiterentwicklung unserer IT-Infrastruktur (Server, Netzwerke und Clients) Sicherstellung eines störungsfreien IT-Betriebs Installation, Konfiguration und Wartung von Hard- und Software Analyse und Behebung von Störungen im 1st- und 2nd-Level-Support Mitarbeit an spannenden IT-Projekten sowie Digitalisierungsvorhaben Testing, Bewertung und Einführung neuer Tools und Systeme – insbesondere im E-Commerce-Umfeld Mitwirkung bei der Einführung und Weiterentwicklung von Marketing-Tools (z. B. Newsletter-Systeme) Enge Zusammenarbeit mit internen Fachbereichen sowie externen IT-Dienstleistern Qualifikation Das bringst du mit Abgeschlossene Ausbildung im IT-Bereich, z. B. als Fachinformatiker für Systemintegration (m/w/d), oder eine vergleichbare Qualifikation Berufserfahrung in der Systemadministration, idealerweise im Windows-Umfeld Gute Kenntnisse in Netzwerktechnologien sowie im Bereich IT-Sicherheit Ausgeprägte Service- und Kundenorientierung Selbstständige, strukturierte und verantwortungsbewusste Arbeitsweise Teamfähigkeit, Kommunikationsstärke und Freude daran, gemeinsam Lös...",devops,4.0,devops,الوظيفة تركز على إدارة البنية التحتية والخوادم والشبكات وأمن الأنظمة واستمرارية التشغيل؛ لذلك تندرج ضمن DevOps وإدارة الأنظمة.
842,Senior Python Entwickler*,"Was dich erwartet Du konzipierst, entwickelst und optimierst anspruchsvolle Softwarelösungen im Enterprise-Umfeld. Du übernimmst die technische Verantwortung für Projekte und unterstützt Teams bei Architektur- und Technologieentscheidungen. Du entwickelst leistungsfähige Backend-Lösungen mit Python und modernen Frameworks. Du entwirfst skalierbare, wartbare und sichere Softwarearchitekturen und begleitest deren Umsetzung. Du konzipierst und implementierst Schnittstellen zur Integration von Anwendungen und Systemlandschaften. Du arbeitest eng mit Kunden, Product Ownern und Entwicklungsteams zusammen und berätst zu technischen Fragestellungen. Du unterstützt bei Code Reviews, Qualitätssicherung und der Einführung von Best Practices. Du förderst den Wissensaustausch im Team und unterstützt die fachliche Weiterentwicklung von Kolleginnen und Kollegen. Du begleitest den Betrieb und die Weiterentwicklung von Anwendungen in Cloud- und/oder On-Premises-Umgebungen. Du bringst Dich aktiv in die Weiterentwicklung unserer technologischen Standards, Methoden und Prozesse ein. Was du mitbringst Du verfügst über mindestens 3 Jahre praktische Erfahrung in der Entwicklung von Softwarelösungen mit Python und bringst fundierte Erfahrung mit modernen Python-Frameworks wie FastAPI, Flask oder vergleichbaren Technologien mit. Du hast Erfahrung in der Konzeption und Umsetzung von REST-APIs sowie der Integration verteilter Systeme und kennst moderne Architekturansätze wie Microservices, Event-Driven...",backend,7.9,backend,الوصف يذكر صراحة تطوير حلول Backend بلغة Python باستخدام FastAPI وFlask وREST APIs وMicroservices؛ لذلك المسار الصحيح Backend.
903,Test & Integration Engineer (m/w/x) Radio Framework,"Projektbeschreibung: Technologie begeistert Sie? Uns auch! Zur Verstärkung unseres Expertenteams bei unserem Kunden aus der Funk- und Kommunikationsbranche suchen wir einen Test & Integration Engineer (m/w/x) Radio Framework Festanstellung bei K-tronik. Wir freuen uns darauf, Sie persönlich kennen zu lernen - und gemeinsam mit Leidenschaft und Teamgeist an spannenden Projekten und zukunftsweisenden Technologien zu arbeiten. Aufgaben: Die Konzeption und Implementierung von CI/CT/CD-Pipelines mit GitLab gehört zu deinen Aufgaben Messgeräte wie Oszilloskope, Signalgeneratoren oder Spektrumanalysatoren bindest du an Testumgebungen an und automatisierst deren Einsatz Du definierst anforderungsbasierte Testfälle für das SW-Framework eines SW Defined Radios, erstellst Testprozeduren sowie Testkampagnen und wertest die Testergebnisse aus Du sorgst für eine lückenlose Nachverfolgbarkeit zwischen SW-Framework-Releases, Anforderungen, Testergebnissen und Fehler-Reports Gemeinsam mit Hardware- und Softwareteams führst du Fehlersuchen und Root-Cause-Analysen durch Qualifikationen: Du hast ein abgeschlossenes Studium der Informatik, Elektrotechnik oder eine vergleichbare Qualifikation Du besitzt Erfahrung in der hardwarenahen Softwareentwicklung sowie im Testen komplexer Systeme (z. B. Mikrocontroller, SoCs oder RF-/Funktechnik), idealerweise im militärischen oder sicherheitskritischen Umfeld Du hast bereits im Bereich Testautomatisierung sowie in der Entwicklung von Testframeworks gearbei...",backend,4.25,out_of_scope,الدور متخصص في اختبار ودمج أنظمة الراديو والأجهزة والبرمجيات القريبة من العتاد، وليس أحد المسارات الأربعة المدعومة؛ لذلك هو خارج النطاق.
634,FPGA-Entwickler (m/w/x),"Projektbeschreibung: Technologie begeistert Sie? Uns auch! Zur Verstärkung unseres Expertenteams bei unserem Kunden aus der Funk- und Kommunikationsbranche suchen wir einen FPGA-Entwickler (m/w/x) in Festanstellung bei K-tronik. Wir freuen uns darauf, Sie persönlich kennen zu lernen - und gemeinsam mit Leidenschaft und Teamgeist an spannenden Projekten und zukunftsweisenden Technologien zu arbeiten. Aufgaben: Mitarbeit an der Implementierung von Produkten im Technology Cluster High Power (Broadcast, Plasma Generation) Neuentwicklung & Pflege von FPGA-basierten SoC Embedded-Echtzeitsystemen Entwurf, Simulation und Implementierung von FPGA-Logik (VHDL/Verilog) für spezialisierte Hardware-Funktionsblöcke Entwicklung der notwendigen Embedded-Software (z. B. unter Linux oder Bare-Metal) für die Soft/Hardcore-Prozessoren am SoC Anforderungsanalyse und Ausarbeitung von Lösungskonzepte, die du gemeinsam mit interdisziplinären Teams realisierst Du verifizierst die Funktionalität und Effizienz der von dir entwickelten Komponenten durch kontinuierliche Simulationen und Validierung auf der HW Du arbeitest eng mit Kollegen aus der Hardware- und Software-Entwicklung zusammen und sorgst für eine reibungslose Integration der FPGA-Komponenten in das Gesamtsystem Der Umgang mit Legacy-Code spornt dich an, Analysen anzustellen und dem Code über neue Ansätze, Refactorings und Optimierungen zu einem zweiten Leben zu verhelfen Gemeinsam mit Entwicklern, DevOps, Testern und Architekten treibst...",devops,5.8,out_of_scope,الوظيفة متخصصة في FPGA وVHDL وVerilog والأنظمة المضمنة والعتاد؛ لذلك لا تنتمي إلى Backend أو Frontend أو Mobile أو DevOps.
911,"Agentic Engineering Expert (m/w/d), Düsseldorf","Wofür wir stehen: „We drive digital transformation end-to-end – from strategy to execution. Creating measurable progress and real impact for our clients.“ Stillstand? Nicht mit uns. Wir glauben: Alles ist BETA – und genau darin liegt die Chance für Fortschritt. Während andere noch über AI-Strategie diskutieren, bauen wir unsere Delivery AI-native um – mit Specs, Verification Gates und Agenten im gesamten Entwicklungsprozess. Und jetzt kommst du: Wir suchen die Person, die diese Transformation in unseren Engineering-Teams beschleunigt. Nicht als Konzeptlieferant, sondern hands-on, als jemand, der es selbst vorlebt und andere mitzieht. Deine Aufgaben: Deine Mission: Du machst unsere Entwicklungsteams schneller und besser, indem du agentische Workflows aufbaust, Standards setzt und Wissen multiplizierst. Als fester Bestandteil des Entwicklerteams bist du hands-on in Kundenprojekten dabei und übernimmst als Lead Developer die technische Leitung: für Qualität, Skalierbarkeit und erfolgreiche Delivery. Du berätst unsere Kund:innen zu AI, Softwarearchitektur und technischen Konzepten und konzipierst und implementierst effiziente AI-Workflows für Entwicklungs- und Projektteams. Du bist dabei mehr als Techniker:in. Du bist Change Agent: Frontrunner und Innovator, der in den Projekten vorangeht, die neue Arbeitsweise vorlebt und die Teams mitnimmt. Klarstellung vorab: Das ist keine AI/ML-Rolle. Du entwickelst keine Modelle. Du baust Software schneller, indem du AI-Agenten orchestrierst...",backend,3.3,insufficient_evidence,الدور هندسي عام يركز على قيادة التطوير واستخدام AI Agents، من دون مسؤوليات أو تقنيات تحدد مساراً مدعوماً واحداً بوضوح؛ لذلك الأدلة غير كافية.
